kode_entitas;nama_entitas;sektor;subsektor;informasi_pemegang_saham_pengendali;jenis_entitas;tanggal_akhir;mata_uang;kurs_konversi;pembulatan;jumlah_aset_lancar;jumlah_aset_tidak_lancar;jumlah_aset;jumlah_liabilitas_jangka_pendek;jumlah_liabilitas_jangka_panjang;jumlah_liabilitas;saham_biasa;saham_preferen;tambahan_modal_disetor;jumlah_ekuitas_yang_diatribusikan_kepada_pemilik_entitas_induk;jumlah_ekuitas;jumlah_liabilitas_dan_ekuitas;jumlah_laba_bruto;jumlah_laba_rugi;jumlah_laba_rugi_komprehensif;laba_rugi_komprehensif_yang_dapat_diatribusikan_ke_entitas_indu;laba_rugi_yang_dapat_diatribusikan_ke_entitas_induk;laba_rugi_yang_dapat_diatribusikan_ke_kepentingan_non_pengendal
NRCA;PT Nusa Raya Cipta Tbk.;6. Property, Real Estate And Building Construction;62. Building Construction;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;1983250911717.0;271460853923.0;2254711765640.0;957671673254.0;88803169332.0;1046474842586.0;249625834400.0;None;342472165654.0;1208237121607.0;1208236923054.0;2254711765640.0;251121174924.0;117967950221.0;103055982990.0;103056984858.0;117968952089.0;-1001868.0
BHIT;PT MNC Investama Tbk.;9. Trade, Services & Investment;98. Investment Company;National and Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Jutaan / In Million;19035641.0;37386332.0;56421973.0;17171841.0;14753368.0;31925209.0;5193914.0;None;3888049.0;12334195.0;24496764.0;56421973.0;7163896.0;945195.0;994169.0;152067.0;86353.0;858842.0
GSMF;Equity Development Investment Tbk;8. Finance;89. Others - Finance;National and Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Ribuan / In Thousand;3422558425.0;1343778825.0;4766337250.0;3205396157.0;75249587.0;3280645744.0;1889782763.0;None;250428445.0;1373591715.0;1485691506.0;4766337250.0;1151056114.0;70277584.0;81357546.0;69033042.0;58726434.0;11551150.0
PZZA;PT Sarimelati Kencana Tbk.;9. Trade, Services & Investment;94. Tourism, Restaurant And  Hotel;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;817048391939.0;1213138567037.0;2030186958976.0;484763053420.0;332848606510.0;817611659930.0;302187500000.0;None;581375000000.0;1212575299046.0;1212575299046.0;2030186958976.0;2392855752811.0;173095760565.0;201066629674.0;201066629674.0;173095760565.0;None
DIVA;PT Distribusi Voucher Nusantara Tbk;9. Trade, Services & Investment;93. Retail Trade;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;836046426726.0;19649943973.0;855696370699.0;132248571423.0;2594477085.0;134843048508.0;71428570000.0;None;592674751173.0;686727819568.0;720853322191.0;855696370699.0;62920448448.0;12342543472.0;12771986497.0;10175631503.0;9849775875.0;2492767597.0
ACES;Ace Hardware Indonesia Tbk;9. Trade, Services & Investment;93. Retail Trade;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;4096280475383.0;1224900380158.0;5321180855541.0;631055459387.0;454654350225.0;1085709809612.0;171500000000.0;None;404435806481.0;4225418067107.0;4235471045929.0;5321180855541.0;3443158197607.0;976273356597.0;1044485235597.0;1032077414712.0;964554026626.0;11719329971.0
PSAB;J RESOURCES ASIA PASIFIK Tbk;2. Mining;23. Metal And Mineral Mining;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/18;Dollar Amerika / USD;None;Satuan Penuh / Full Amount;121269487.0;795085539.0;916355026.0;171107218.0;375383065.0;546490283.0;58830001.0;None;102481975.0;319872466.0;369864743.0;916355026.0;116870978.0;19147361.0;19890379.0;15748541.0;15292905.0;3854456.0
BEEF;PT Estika Tata Tiara Tbk.;1. Agriculture;13. Animal Husbandry;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;207472483678.0;357224543757.0;564697027435.0;181732710507.0;153277215149.0;335009925656.0;150745000000.0;None;10729425077.0;227359108980.0;229687101779.0;564697027435.0;None;30830750626.0;31357947345.0;30266675799.0;29723278273.0;1107472353.0
EMTK;Elang Mahkota Teknologi Tbk;9. Trade, Services & Investment;95. Advertising, Printing And Media;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Ribuan / In Thousand;9818543808.0;9706867876.0;19525411684.0;2273024715.0;1788053654.0;4061078369.0;1128006488.0;None;2068557276.0;11919369221.0;15464333315.0;19525411684.0;2834589917.0;-2305536736.0;-2170443556.0;-2484677078.0;-2621710475.0;316173739.0
EXCL;PT XL Axiata Tbk;7. Infrastructure, Utilities And Transportation;73. Telecommunication;Foreign Corporation;Foreign Company;31/12/18;Rupiah / IDR;None;Jutaan / In Million;7058652.0;50555302.0;57613954.0;15733294.0;23537562.0;39270856.0;1068796.0;00.00;12149371.0;18343098.0;18343098.0;57613954.0;None;-3296890.0;-3280113.0;-3280113.0;-3296890.0;00.00
JRPT;Jaya Real Property Tbk;6. Property, Real Estate And Building Construction;61. Property And Real Estate;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Ribuan / In Thousand;3923648209.0;6617600058.0;10541248267.0;3480039223.0;367860357.0;3847899580.0;275000000.0;None;703770243.0;6406198081.0;6693348687.0;10541248267.0;1370684589.0;1049745761.0;1054538394.0;1037911865.0;1033205288.0;16540473.0
INTA;Intraco Penta Tbk;9. Trade, Services & Investment;91. Wholesale (Durable & Non-Durable Goods);National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Jutaan / In Million;2291606.0;2707926.0;4999532.0;1883735.0;2898658.0;4782393.0;166737.0;None;254659.0;132068.0;217139.0;4999532.0;374361.0;-399526.0;-380868.0;-333645.0;-352028.0;-47498.0
