kode_entitas;nama_entitas;sektor;subsektor;informasi_pemegang_saham_pengendali;jenis_entitas;tanggal_akhir;mata_uang;kurs_konversi;pembulatan;jumlah_aset_lancar;jumlah_aset_tidak_lancar;jumlah_aset;jumlah_liabilitas_jangka_pendek;jumlah_liabilitas_jangka_panjang;jumlah_liabilitas;saham_biasa;saham_preferen;tambahan_modal_disetor;jumlah_ekuitas_yang_diatribusikan_kepada_pemilik_entitas_induk;jumlah_ekuitas;jumlah_liabilitas_dan_ekuitas;jumlah_laba_bruto;jumlah_laba_rugi;jumlah_laba_rugi_komprehensif;laba_rugi_komprehensif_yang_dapat_diatribusikan_ke_entitas_indu;laba_rugi_yang_dapat_diatribusikan_ke_entitas_induk;laba_rugi_yang_dapat_diatribusikan_ke_kepentingan_non_pengendal
ADMG;Polychem Indonesia Tbk;3. Basic Industry And Chemicals;34. Chemicals;National and Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Dollar Amerika / USD;14105.0;Satuan Penuh / Full Amount;110385770.0;144842425.0;255228195.0;33969979.0;13434848.0;47404827.0;216281813.0;0;58441593.0;207827084.0;207823368.0;255228195.0;-18671871.0;-29590834.0;-35929101.0;-35920955.0;-29591314.0;480.00.00
ADRO;ADARO ENERGY Tbk;2. Mining;21. Coal Mining;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Dollar Amerika / USD;0;Ribuan / In Thousand;2109924.0;5107181.0;7217105.0;1232601.0;2001109.0;3233710.0;342940.0;0;1154494.0;3730072.0;3983395.0;7217105.0;964591.0;435002.0;387508.0;354658.0;404190.0;30812.0
AGAR;PT Asia Sejahtera Mina Tbk;9. Trade, Services & Investment;91. Wholesale (Durable & Non-Durable Goods);National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;149302248413.0;46030909157.0;195333157570.0;71962474447.0;15988497968.0;87950972415.0;100000000000.0;0;5008083551.0;107382185155.0;107382185155.0;195333157570.0;25009520454.0;440076144.0;555504400.0;555504400.0;440076144.0;0
AGII;PT Aneka Gas Industri Tbk.;3. Basic Industry And Chemicals;34. Chemicals;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Jutaan / In Million;1696015.0;5324965.0;7020980.0;1938711.0;1782705.0;3721416.0;1533330.0;0;368037.0;3241047.0;3299564.0;7020980.0;997797.0;103431.0;167239.0;163982.0;100971.0;2460.00.00
AGRO;PT Bank Rakyat Indonesia Agroniaga Tbk;8. Finance;81. Bank;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;14050.0;Ribuan / In Thousand;0;0;27067922912.0;0;0;22586218693.0;2134329023.0;0;1825177644.0;4481704219.0;4481704219.0;0;0;51061421.0;86365196.0;86365196.0;51061421.0;0
AGRS;PT Bank IBK Indonesia Tbk.;8. Finance;81. Bank;Foreign Corporation;Foreign Company;31/12/20;Rupiah / IDR;14050.0;Jutaan / In Million;0;0;6421844.0;0;0;5219244.0;710835.0;0;75501.0;1204393.0;1202600.0;0;0;-248836.0;-240111.0;-240111.0;-248836.0;0
AHAP;Asuransi Harta Aman Pratama Tbk;8. Finance;84. Insurance;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;14.105;Satuan Penuh / Full Amount;0;0;582236244026.0;0;0;433311389523.0;147000000000.0;0;79565500000.0;148924854503.0;148924854503.0;0;0;-115452693863.0;-114947315278.0;-114947315278.0;-115452693863.0;0
AIMS;Akbar Indomakmur Stimec Tbk;9. Trade, Services & Investment;91. Wholesale (Durable & Non-Durable Goods);National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;52091615.0;17479500000.0;17531591615.0;2966250000.0;926700212.0;3892950212.0;11000000000.0;0;4265565685.0;13638641403.0;13638641403.0;17531591615.0;00.00;-697155439.0;-697155439.0;-697155439.0;-697155439.0;0
AISA;PT FKS Food Sejahtera Tbk;5. Consumer Goods Industry;51. Food And Beverages;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Jutaan / In Million;474261.0;1394705.0;1868966.0;1152923.0;2373896.0;3526819.0;684220.0;0;1455091.0;-1656803.0;-1657853.0;1868966.0;447457.0;1134776.0;1613969.0;1613158.0;1134399.0;377.00.00
AKKU;PT Anugerah Kagum Karya Utama Tbk;9. Trade, Services & Investment;94. Tourism, Restaurant And  Hotel;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;256825991160.0;679873364537.0;936699355697.0;343800035765.0;5497022519.0;349297058284.0;644946363600.0;0;29264760871.0;587400812574.0;587402297413.0;936699355697.0;8995901255.0;-163704966109.0;-163466438181.0;-163463641789.0;-163702169717.0;-2796392.0
AKPI;Argha Karya Prima Ind. Tbk;3. Basic Industry And Chemicals;35. Plastics & Packaging;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Ribuan / In Thousand;1087597237.0;1689178519.0;2776775756.0;1003137696.0;528682269.0;1531819965.0;340000000.0;0;303829224.0;1245030778.0;1244955791.0;2776775756.0;192220248.0;54355268.0;18469014.0;18455137.0;54364771.0;-9503.0
AKRA;PT AKR Corporindo Tbk.;9. Trade, Services & Investment;91. Wholesale (Durable & Non-Durable Goods);National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Ribuan / In Thousand;10777639192.0;10631406981.0;21409046173.0;8712526231.0;2629658602.0;11342184833.0;401469492.0;0;1287163057.0;8336274821.0;10066861340.0;21409046173.0;1892121533.0;703077279.0;656278493.0;687806962.0;717205137.0;-14127858.0
AKSI;PT Maming Enam Sembilan Mineral Tbk.;7. Infrastructure, Utilities And Transportation;74. Transportation;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;148724982545.0;136452585194.0;285177567739.0;99631561298.0;71574928448.0;171206489746.0;72000000000.0;0;14829959956.0;113664401320.0;113971077993.0;285177567739.0;79282385083.0;4177237649.0;4165786759.0;4155416539.0;4166768381.0;10469268.0
ALDO;Alkindo Naratama Tbk;3. Basic Industry And Chemicals;38. Pulp & Paper;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;13901.0;Satuan Penuh / Full Amount;527212418930.0;397902030577.0;925114449507.0;291076212712.0;100631930525.0;391708143237.0;110000000000.0;0;147789727789.0;416065353457.0;533406306270.0;925114449507.0;274840274097.0;78421735355.0;75691865289.0;54538539642.0;56314630899.0;22107104456.0
ALKA;Alakasa Industrindo Tbk;3. Basic Industry And Chemicals;33. Metal And Allied Products;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Ribuan / In Thousand;586263457.0;18561157.0;604824614.0;498178849.0;1853402.0;500032251.0;73503957.0;0;200000.0;99669382.0;104792363.0;604824614.0;51667334.0;7354721.0;7619315.0;7453209.0;7188641.0;166080.0
ALMI;Alumindo Light Metal Industry Tbk;3. Basic Industry And Chemicals;33. Metal And Allied Products;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Dollar Amerika / USD;0;Satuan Penuh / Full Amount;83491882.0;40646643.0;124138525.0;113534327.0;10769157.0;124303484.0;72888664.0;0;28067077.0;-164959.0;-164959.0;124138525.0;-7099970.0;-22438088.0;-22437621.0;-22437621.0;-22438088.0;0
ALTO;Tri Banyan Tirta Tbk;5. Consumer Goods Industry;51. Food And Beverages;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;176818868579.0;926631218585.0;1103450087164.0;200070083238.0;522649480312.0;722719563550.0;219187055800.0;0;306963031468.0;379059954248.0;380730523614.0;1103450087164.0;41931497727.0;-7383289239.0;-6396153931.0;-6379173111.0;-7361733188.0;-21556051.0
AMAG;Asuransi Multi Artha Guna Tbk;8. Finance;84. Insurance;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Ribuan / In Thousand;0;0;4626630367.0;0;0;2675535753.0;500155252.0;0;263076098.0;1951094614.0;1951094614.0;0;0;73060310.0;124789630.0;124789630.0;73060310.0;0
AMAN;PT Makmur Berkah Amanda Tbk.;6. Property, Real Estate And Building Construction;61. Property And Real Estate;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;14105.0;Ribuan / In Thousand;312638211.0;415482630.0;728120841.0;127188208.0;87024640.0;214212848.0;328850000.0;0;71680328.0;503967818.0;513907993.0;728120841.0;63107949.0;11961112.0;12517652.0;14355418.0;13798878.0;-1837766.0
AMAR;PT Bank Amar Indonesia Tbk.;8. Finance;81. Bank;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Ribuan / In Thousand;0;0;3452515470.0;0;0;2374107426.0;803510000.0;0;225757500.0;1078408044.0;1078408044.0;0;0;61426524.0;63238431.0;63238431.0;61426524.0;0
AMFG;Asahimas Flat Glass Tbk;3. Basic Industry And Chemicals;32. Ceramics, Glass, Porcelain;National and Foreign Corporation;Joint Venture - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Jutaan / In Million;2347673.0;6390382.0;8738055.0;2286103.0;3042021.0;5328124.0;217000.0;0;165083.0;3409931.0;3409931.0;8738055.0;408186.0;-132223.0;-173715.0;-173715.0;-132223.0;0
AMIN;PT Ateliers Mecaniques D Indonesie Tbk.;4. Miscellaneous Industry;41. Machinery And Heavy Equipment;Individual Foreign, Non-Residential;Local Company - Indonesia Jurisdiction;31/01/21;Rupiah / IDR;0;Satuan Penuh / Full Amount;307856159370.0;112824763788.0;420680923158.0;180655241982.0;30064035524.0;210719277506.0;108000000000.0;0;7166500000.0;209961645652.0;209961645652.0;420680923158.0;55991195071.0;10231229929.0;11377914397.0;11377914397.0;10231229929.0;0
AMOR;PT Ashmore Asset Management Indonesia Tbk.;8. Finance;83. Securities Company;Foreign Corporation;Local Company - Indonesia Jurisdiction;30/06/21;Rupiah / IDR;0;Satuan Penuh / Full Amount;0;0;336398988799.0;0;0;50845571299.0;27777780000.0;0;201347241095.0;285553417500.0;285553417500.0;336398988799.0;0;79566793815.0;79471707315.0;79471707315.0;79566793815.0;0
AMRT;PT Sumber Alfaria Trijaya Tbk.;9. Trade, Services & Investment;93. Retail Trade;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Jutaan / In Million;14782817.0;9209496.0;23992313.0;13167601.0;3940405.0;17108006.0;415245.0;0;2479828.0;6696944.0;6884307.0;23992313.0;14541634.0;1138888.0;977914.0;953587.0;1112513.0;26375.0
ANDI;PT Andira Agro Tbk;1. Agriculture;12. Plantation;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;104402732153.0;382936061859.0;487338794012.0;76718616762.0;151447666843.0;228166283605.0;187000000000.0;0;48929000000.0;259172510407.0;259172510407.0;487338794012.0;62395355956.0;12492217169.0;13055742372.0;13055742372.0;12492217169.0;0
ANJT;PT Austindo Nusantara Jaya Tbk.;1. Agriculture;12. Plantation;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/20;Dollar Amerika / USD;14105.0;Satuan Penuh / Full Amount;66837009.0;558871095.0;625708104.0;31440938.0;205559105.0;237000043.0;46735308.0;0;50307877.0;387919262.0;388708061.0;625708104.0;23765022.0;-4558192.0;2196848.0;2514460.0;-4196839.0;-361353.0
ANTM;Aneka Tambang Tbk.;2. Mining;23. Metal And Mineral Mining;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Ribuan / In Thousand;7665239260.0;22529668470.0;30194907730.0;5293238393.0;6768250162.0;12061488555.0;2403076473.0;0;3934833124.0;18133399321.0;18133419175.0;30194907730.0;4447156354.0;193852031.0;-8898355.0;-8899239.0;193851147.0;884.00.00
APAI;PT ANGKASA PURA I (PERSERO);7. Infrastructure, Utilities And Transportation;72. Toll Road, Airport, Harbor And Allied Products;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Ribuan / In Thousand;8190498240.0;34596052859.0;42786551099.0;6180788551.0;20625254701.0;26806043252.0;6414412000.0;0;31552085.0;15975009459.0;15980507847.0;42786551099.0;5351358578.0;1452227166.0;1381530443.0;1380673560.0;1451359978.0;867188.0
APEX;Apexindo Pratama Duta Tbk;2. Mining;22. Crude Petroleum & Natural Gas Production;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Dollar Amerika / USD;0;Satuan Penuh / Full Amount;68631995.0;432094254.0;500726249.0;18904522.0;425526491.0;444431013.0;122030559.0;0;43872014.0;56295236.0;56295236.0;500726249.0;18954934.0;20356327.0;20720541.0;20720541.0;20356327.0;0
APIA;PT Angkasa Pura II (Persero);7. Infrastructure, Utilities And Transportation;72. Toll Road, Airport, Harbor And Allied Products;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;5964265586346.0;38033764782047.0;43998030368393.0;5339906584820.0;14215314898232.0;19555221483052.0;15971652000000.0;0;-59048538134.0;24060806429508.0;24442808885341.0;43998030368393.0;11084234115664.0;1007256149471.0;919929590465.0;942802887290.0;1015672090991.0;-8415941520.0
APIC;PACIFIC STRATEGIC FINANCIAL Tbk;8. Finance;89. Others - Finance;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;3328927878165.0;324020021582.0;3652947899747.0;1270665979710.0;547449883663.0;1818115863373.0;1218638473800.0;0;43471495814.0;1766638731176.0;1834832036374.0;3652947899747.0;0;102897273402.0;105287208107.0;101945775550.0;99638316685.0;3258956717.0
APII;PT Arita Prima Indonesia Tbk.;9. Trade, Services & Investment;91. Wholesale (Durable & Non-Durable Goods);Foreign Corporation;Foreign Company;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;277538146400.0;213322509316.0;490860655716.0;172681301594.0;16814651064.0;189495952658.0;107576000000.0;0;33937353656.0;301257743033.0;301364703058.0;490860655716.0;144765371794.0;25744441617.0;25772076528.0;25754613416.0;25726966584.0;17475033.0
APLI;Asiaplast Industries Tbk;3. Basic Industry And Chemicals;35. Plastics & Packaging;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;123669639380.0;295594890068.0;419264529448.0;87957256576.0;118566202436.0;206523459012.0;136267140000.0;0;-8407840449.0;212805039098.0;212741070436.0;419264529448.0;77412763361.0;9588681370.0;8556193779.0;8585716076.0;9618426579.0;-29745209.0
APLN;PT Agung Podomoro Land Tbk.;6. Property, Real Estate And Building Construction;61. Property And Real Estate;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Ribuan / In Thousand;8170838065.0;21289507015.0;29460345080.0;4909431582.0;11714967888.0;16624399470.0;1936456170.0;0;1030476588.0;9448316254.0;12835945610.0;29460345080.0;1961066903.0;120811697.0;-7277205.0;-135799572.0;-8657699.0;129469396.0
ARGO;Argo Pantes Tbk;4. Miscellaneous Industry;43. Textile, Garment;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/20;Dollar Amerika / USD;14.105;Satuan Penuh / Full Amount;10935507.0;74097397.0;85032904.0;113975853.0;57690180.0;171666033.0;72473905.0;0;108224921.0;-86633129.0;-86633129.0;85032904.0;621565.0;-7277027.0;-6558591.0;-6558591.0;-7277027.0;0
ARII;Atlas Resources Tbk;2. Mining;21. Coal Mining;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Dollar Amerika / USD;14105.0;Ribuan / In Thousand;62695.0;301257.0;363952.0;260384.0;57510.0;317894.0;67498.0;0;81988.0;45024.0;46058.0;363952.0;41.00.00;-5537.0;-5751.0;-3663.0;-3451.0;-2086.0
ARKA;PT Arkha Jayanti Persada Tbk.;4. Miscellaneous Industry;41. Machinery And Heavy Equipment;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;14105.0;Satuan Penuh / Full Amount;203676077623.0;265131279392.0;468807357015.0;121708250797.0;224923220451.0;346631471248.0;200000000000.0;0;63558268075.0;122175885767.0;122175885767.0;468807357015.0;20483848464.0;2224435972.0;2337922847.0;2337922847.0;2224435972.0;0
ARMY;PT Armidian Karyatama Tbk;6. Property, Real Estate And Building Construction;61. Property And Real Estate;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;455487963099.0;1397119301499.0;1852607264598.0;148967753253.0;252410692771.0;401378446024.0;900625000000.0;0;477409899619.0;1451228818574.0;1451228818574.0;1852607264598.0;31769095061.0;17969031379.0;18388420910.0;18388420910.0;17969031379.0;0
ARNA;Arwana Citramulia Tbk;3. Basic Industry And Chemicals;32. Ceramics, Glass, Porcelain;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;975855222731.0;823281846612.0;1799137069343.0;562004316020.0;60350990723.0;622355306743.0;91767887200.0;0;661790808.0;1158204193601.0;1176781762600.0;1799137069343.0;568659090420.0;217675239509.0;200335000295.0;198392630210.0;215534820322.0;2140419187.0
ARTA;Arthavest Tbk;9. Trade, Services & Investment;94. Tourism, Restaurant And  Hotel;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;14105.0;Satuan Penuh / Full Amount;85188330002.0;353882048554.0;439070378556.0;12044348598.0;54263912675.0;66308261273.0;89334835000.0;0;1116892763.0;197776160375.0;372762117283.0;439070378556.0;58925967959.0;628762882.0;2601591947.0;3593518747.0;2479808674.0;-1851045792.0
ARTI;Ratu Prabu Energi Tbk;2. Mining;22. Crude Petroleum & Natural Gas Production;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;587912084567.0;1197571941183.0;1785484025750.0;836492435173.0;147952776800.0;984445211973.0;1411200000000.0;0;351017647686.0;1334517817538.0;801038813777.0;1785484025750.0;6778818228.0;-991984266198.0;-991984266198.0;-350709057617.0;-350709057617.0;-641275208581.0
ARTO;PT Bank Jago Tbk.;8. Finance;81. Bank;National and Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Jutaan / In Million;0;0;1321057.0;0;0;639878.0;120625.0;0;4482.00.00;681179.0;681179.0;0;0;-121966.0;-117239.0;-117239.0;-121966.0;0
ASBI;Asuransi Bintang Tbk;8. Finance;84. Insurance;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Ribuan / In Thousand;0;0;857520585.0;0;0;566035087.0;87096618.0;0;50000.0;291351494.0;291485498.0;0;0;8009060.0;13781754.0;13776687.0;8003993.0;5067.00.00
ASDF;PT Astra Sedaya Finance;8. Finance;82. Financial Institution;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Miliaran / In Billion;0;0;31985.0;0;0;24959.0;950.00.00;00.00;1987.00.00;7026.00.00;7026.00.00;31985.0;0;1286.00.00;1103.00.00;1103.00.00;1286.00.00;0
ASDM;Asuransi Dayin Mitra Tbk;8. Finance;84. Insurance;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Ribuan / In Thousand;0;0;1158038755.0;0;0;823936164.0;48000000.0;0;1067308.0;334102591.0;334102591.0;0;0;27839061.0;25155527.0;25155527.0;27839061.0;0
ASGR;Astra Graphia Tbk;9. Trade, Services & Investment;97. Computer And Services;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Jutaan / In Million;2351295.0;545545.0;2896840.0;1197865.0;72965.0;1270830.0;134878.0;0;57313.0;1626006.0;1626010.0;2896840.0;852405.0;250992.0;242938.0;242938.0;250992.0;0
ASII;Astra International Tbk;4. Miscellaneous Industry;42. Automotive And Components;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Miliaran / In Billion;129058.0;222900.0;351958.0;99962.0;65233.0;165195.0;2024.00.00;0;1139.00.00;147847.0;186763.0;351958.0;50239.0;26621.0;23279.0;19464.0;21707.0;4914.00.00
ASJT;Asuransi Jasa Tania Tbk;8. Finance;84. Insurance;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;0;0;447670324778.0;0;0;238307219447.0;60000000000.0;0;2770781054.0;209363105331.0;209363105331.0;0;0;1223750497.0;2872717734.0;2872717734.0;1223750497.0;0
ASMI;PT Asuransi Maximus Graha Persada Tbk.;8. Finance;84. Insurance;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;0;0;975687462693.0;0;0;444365375715.0;179167609200.0;0;126625766848.0;530294832434.0;530294832434.0;0;0;9408511340.0;10700535196.0;10700535196.0;9408511340.0;0
ASPI;PT Andalan Sakti Primaindo Tbk.;6. Property, Real Estate And Building Construction;61. Property And Real Estate;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;44438741129.0;2598802855.0;47037543984.0;2590896106.0;8577226224.0;11168122330.0;35000000000.0;0;1920444424.0;35128445622.0;35869421654.0;47037543984.0;2157306286.0;-2310342874.0;-2353247444.0;-2328634228.0;-2287815010.0;-22527864.0
ASRI;ALAM SUTERA REALTY Tbk;6. Property, Real Estate And Building Construction;61. Property And Real Estate;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Ribuan / In Thousand;2521030734.0;19373241271.0;21894272005.0;1923805487.0;9408246904.0;11332052391.0;1964941189.0;0;676623405.0;10453092332.0;10562219614.0;21894272005.0;2196704570.0;1012947312.0;1010862506.0;1009588865.0;1011628134.0;1319178.0
ASRM;Asuransi Ramayana Tbk;8. Finance;84. Insurance;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;0;0;1548001829554.0;0;0;1104712550189.0;117032317000.0;0;36819812470.0;443269221292.0;443289279365.0;0;0;62868440933.0;61534174540.0;61530846452.0;62865106299.0;3334634.0
ASSA;Adi Sarana Armada Tbk;7. Infrastructure, Utilities And Transportation;74. Transportation;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;652506417924.0;4196717212118.0;4849223630042.0;1240237695433.0;2270833680960.0;3511071376393.0;339750000000.0;0;374948865468.0;1191795429729.0;1338152253649.0;4849223630042.0;744485589741.0;91614940880.0;86688466908.0;105545261933.0;110402454046.0;-18787513166.0
